"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_B"
"AMR",2023-12-17,5199
"AMR",2023-12-24,5188
"AMR",2023-12-31,4355
"AMR",2024-01-07,4281
"AMR",2024-01-14,4480
"AMR",2024-01-21,5727
"AMR",2024-01-28,6996
"AMR",2024-02-04,6778
"AMR",2024-02-11,685
"EMR",2023-05-07,79
"EMR",2023-05-14,114
"EMR",2023-05-21,127
"EMR",2023-05-28,83
"EMR",2023-06-04,91
"EMR",2023-06-11,65
"EMR",2023-06-18,67
"EMR",2023-06-25,40
"EMR",2023-07-02,36
"EMR",2023-07-09,44
"EMR",2023-07-16,35
"EMR",2023-07-23,40
"EMR",2023-07-30,37
"EMR",2023-08-06,38
"EMR",2023-08-13,41
"EMR",2023-08-20,52
"EMR",2023-08-27,37
"EMR",2023-09-03,60
"EMR",2023-09-10,48
"EMR",2023-09-17,61
"EMR",2023-09-24,48
"EMR",2023-10-01,57
"EMR",2023-10-08,78
"EMR",2023-10-15,60
"EMR",2023-10-22,65
"EMR",2023-10-29,57
"EMR",2023-11-05,135
"EMR",2023-11-12,105
"EMR",2023-11-19,154
"EMR",2023-11-26,177
"EMR",2023-12-03,180
"EMR",2023-12-10,222
"EMR",2023-12-17,169
"EMR",2023-12-24,184
"EMR",2023-12-31,263
"EMR",2024-01-07,262
"EMR",2024-01-14,328
"EMR",2024-01-21,319
"EMR",2024-01-28,415
"EMR",2024-02-04,308
"EMR",2024-02-11,8
"EUR",2023-05-07,706
"EUR",2023-05-14,404
"EUR",2023-05-21,305
"EUR",2023-05-28,183
"EUR",2023-06-04,138
"EUR",2023-06-11,99
"EUR",2023-06-18,69
"EUR",2023-06-25,35
"EUR",2023-07-02,23
"EUR",2023-07-09,19
"EUR",2023-07-16,40
"EUR",2023-07-23,35
"EUR",2023-07-30,26
"EUR",2023-08-06,27
"EUR",2023-08-13,21
"EUR",2023-08-20,17
"EUR",2023-08-27,20
"EUR",2023-09-03,31
"EUR",2023-09-10,25
"EUR",2023-09-17,24
"EUR",2023-09-24,27
"EUR",2023-10-01,66
"EUR",2023-10-08,85
"EUR",2023-10-15,87
"EUR",2023-10-22,107
"EUR",2023-10-29,128
"EUR",2023-11-05,143
"EUR",2023-11-12,150
"EUR",2023-11-19,141
"EUR",2023-11-26,143
"EUR",2023-12-03,197
"EUR",2023-12-10,333
"EUR",2023-12-17,289
"EUR",2023-12-24,287
"EUR",2023-12-31,407
"EUR",2024-01-07,324
"EUR",2024-01-14,423
"EUR",2024-01-21,654
"EUR",2024-01-28,647
"EUR",2024-02-04,381
"SEAR",2023-05-07,31
"SEAR",2023-05-14,50
"SEAR",2023-05-21,25
"SEAR",2023-05-28,29
"SEAR",2023-06-04,33
"SEAR",2023-06-11,49
"SEAR",2023-06-18,49
"SEAR",2023-06-25,21
"SEAR",2023-07-02,82
"SEAR",2023-07-09,138
"SEAR",2023-07-16,148
"SEAR",2023-07-23,133
"SEAR",2023-07-30,167
"SEAR",2023-08-06,223
"SEAR",2023-08-13,149
"SEAR",2023-08-20,161
"SEAR",2023-08-27,183
"SEAR",2023-09-03,155
"SEAR",2023-09-10,128
"SEAR",2023-09-17,120
"SEAR",2023-09-24,119
"SEAR",2023-10-01,101
"SEAR",2023-10-08,108
"SEAR",2023-10-15,95
"SEAR",2023-10-22,55
"SEAR",2023-10-29,72
"SEAR",2023-11-05,62
"SEAR",2023-11-12,66
"SEAR",2023-11-19,69
"SEAR",2023-11-26,78
"SEAR",2023-12-03,76
"SEAR",2023-12-10,60
"SEAR",2023-12-17,49
"SEAR",2023-12-24,61
"SEAR",2023-12-31,36
"SEAR",2024-01-07,65
"SEAR",2024-01-14,56
"SEAR",2024-01-21,77
"SEAR",2024-01-28,56
"SEAR",2024-02-04,33
"SEAR",2024-02-11,53
"WHO_",2023-11-26,0
"WHO_",2023-12-10,0
"WHO_",2023-12-17,0
"WHO_",2023-12-24,0
"WHO_",2023-12-31,0
"WHO_",2024-01-07,0
"WHO_",2024-01-14,0
"WHO_",2024-01-21,0
"WHO_",2024-01-28,0
"WPR",2023-05-07,137
"WPR",2023-05-14,153
"WPR",2023-05-21,170
"WPR",2023-05-28,218
"WPR",2023-06-04,246
"WPR",2023-06-11,239
"WPR",2023-06-18,240
"WPR",2023-06-25,334
"WPR",2023-07-02,446
"WPR",2023-07-09,326
"WPR",2023-07-16,246
"WPR",2023-07-23,260
"WPR",2023-07-30,245
"WPR",2023-08-06,250
"WPR",2023-08-13,238
"WPR",2023-08-20,278
"WPR",2023-08-27,250
"WPR",2023-09-03,275
"WPR",2023-09-10,280
"WPR",2023-09-17,323
"WPR",2023-09-24,315
"WPR",2023-10-01,320
"WPR",2023-10-08,380
"WPR",2023-10-15,507
"WPR",2023-10-22,699
"WPR",2023-10-29,862
"WPR",2023-11-05,1024
"WPR",2023-11-12,1220
"WPR",2023-11-19,1762
"WPR",2023-11-26,2152
"WPR",2023-12-03,2677
"WPR",2023-12-10,2990
"WPR",2023-12-17,3473
"WPR",2023-12-24,4612
"WPR",2023-12-31,5671
"WPR",2024-01-07,6452
"WPR",2024-01-14,6851
"WPR",2024-01-21,6045
"WPR",2024-01-28,6356
"WPR",2024-02-04,4576
"WPR",2024-02-11,5
