"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_ALL"
"WPR",2023-06-18,1409
"WPR",2023-06-25,1583
"WPR",2023-07-02,1913
"WPR",2023-07-09,1575
"WPR",2023-07-16,1527
"WPR",2023-07-23,1617
"WPR",2023-07-30,1576
"WPR",2023-08-06,1626
"WPR",2023-08-13,1645
"WPR",2023-08-20,1835
"WPR",2023-08-27,1713
"WPR",2023-09-03,2224
"WPR",2023-09-10,2253
"WPR",2023-09-17,2633
"WPR",2023-09-24,2752
"WPR",2023-10-01,2538
"WPR",2023-10-08,3111
"WPR",2023-10-15,3688
"WPR",2023-10-22,5026
"WPR",2023-10-29,6091
"WPR",2023-11-05,7419
"WPR",2023-11-12,11236
"WPR",2023-11-19,15869
"WPR",2023-11-26,17861
"WPR",2023-12-03,18812
"WPR",2023-12-10,16759
"WPR",2023-12-17,14570
"WPR",2023-12-24,14789
"WPR",2023-12-31,14240
"WPR",2024-01-07,12989
"WPR",2024-01-14,11541
"WPR",2024-01-21,9125
"WPR",2024-01-28,8886
"WPR",2024-02-04,5953
"WPR",2024-02-11,89
